id,name,code,barcode,producerid
34310,Serie Expert Scalp Advanced Anti-Oiliness Шампунь-Маска 2в1 250 мл,serie_expert_scalp_advanced_anti_oiliness_shampun_maska_2v1_250_ml_0391069549,3474637090531,10437
32070,Serie Expert Metal Detox Масло 50 мл,serie_expert_metal_detox_maslo_50_ml_0391069512,3474637090616,10437
36613,Total Results Набор Total Results 2024 Food for Soft,total_results_nabor_total_results_2024_food_for_soft_9351060580,4640193136948,10427
27422,Blond Studio 9 Пудра для обесцвечивания волос 500гр,blond_studio_9_pudra_dlya_obescvechivaniya_volos_500gr_0391069431,3474637016364,10437
27953,Blond Studio Majimeches Крем для мелирования (№1) 50мл,blond_studio_majimeches_krem_dlya_melirovaniya_1_50ml_0391069276,3474636980253,10437
37606,Total Results Mega Sleek Iron Smoother Спрей Айрон 250мл,total_results_mega_sleek_iron_smoother_sprej_ajron_250ml_9351060654,3474637206062,10427
28209,Majirel Крем-краска для волос 10 1/2.1 50мл,majirel_krem_kraska_dlya_volos_10_1_2_1_50ml_0391065448,3474634002933,10437
22896,Сыворотка Extentioniste 50мл,syvorotka_extentioniste_50ml_0391061430,3474636636341,10419
30379,Сыворотка Chroma Thermique 150мл,syvorotka_chroma_thermique_150ml_9341060063,3474637059057,10419
30873,Маска Chroma Filler 500мл,maska_chroma_filler_500ml_9341060064,3474637059125,10419
25050,Fusio Dose Концентрат Ampli Force для укрепления склонных к выпадению ослабленных волос 10x12 мл,fusio_dose_koncentrat_ampli_force_dlya_ukrepleniya_sklonnyх_k_vypadeniyu_oslablennyх_volos_10x12_ml_0391060936,3474636858132,10419
25992,Majirel Glow Крем-краска для волос Светл.база .13 Белое Золото 50мл,majirel_glow_krem_kraska_dlya_volos_svetl_baza_13_beloe_zoloto_50ml_0391064636,3474636586448,10437
29249,Total Results Mega Sleek Кондиционер 1л,total_results_mega_sleek_kondicioner_1l_0391068943,3474630740822,10427
1771,Majirel Glow Крем-краска для волос Светл.база .21 Пепел розы 50мл,majirel_glow_krem_kraska_dlya_volos_svetl_baza_21_pepel_rozy_50ml_0391064646,3474636586561,10437
45239,Biolage Bond Therapy Крем-термозащита 150 мл,biolage_bond_therapy_krem_termozashhita_150_ml_9351060696,3474637219116,12826
25043,Majirel Крем-краска для волос 5.4 50мл,majirel_krem_kraska_dlya_volos_5_4_50ml_0391064762,3474634005279,10437
24720,Tecni.art 19 Fix Design Спрей для сильной фиксации 200 мл,tecni_art_19_fix_design_sprej_dlya_silnoj_fiksacii_200_ml_0391062950,30160002,10437
3182,Dialight Гель-крем для окрашивания волос без аммиака 8.43 50мл,dialight_gel_krem_dlya_okrashivaniya_volos_bez_ammiaka_8_43_50ml_0391069483,3474637004194,10437
3697,SoColor Sync Pre-Bonded Крем-краска для волос 5AA 90 мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_5aa_90_ml_9351060320,3474636986972,10427
3609,SoColor Sync Кислотный Тонер Прозрачный Нюд 8AG 90мл,socolor_sync_kislotnyj_toner_prozrachnyj_nyud_8ag_90ml_9351060236,3474636977901,10427
3231,Inoa Краска для волос без аммиака 2.10 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_2_10_60_gr_0391063986,3474630446588,10437
2833,SoColor Pre-Bonded Крем-краска для волос 8CC 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_8cc_90ml_9351060169,3474636989768,10427
2292,SoColor Sync Pre-Bonded Крем-краска для волос 11P 90мл,socolor_sync_pre_bonded_krem_kraska_dlya_volos_11p_90ml_9351060263,3474636986927,10427
2255,SoColor Pre-Bonded Крем-краска для волос 5C 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_5c_90ml_9351060291,3474636989287,10427
3858,Majirel Крем-краска для волос 6 50мл,majirel_krem_kraska_dlya_volos_6_50ml_0391064767,3474634003138,10437
2880,Inoa Краска для волос без аммиака 6.1 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_6_1_60_gr_0391064052,3474630414747,10437
4573,SoColor Pre-Bonded Крем-краска для волос 7BC 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_7bc_90ml_9351060287,3474636993581,10427
5692,Inoa Краска для волос без аммиака 6.11 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_6_11_60_gr_0391064055,3474630529731,10437
4268,Inoa Краска для волос без аммиака 4.45 60 гр,inoa_kraska_dlya_volos_bez_ammiaka_4_45_60_gr_0391064007,3474630413344,10437
6723,Набор для стайлинга Tecni.art №1,nabor_dlya_stajlinga_tecni_art_1_0391063175,4690214188616,10437
4337,SoColor Pre-Bonded Крем-краска для волос 11A 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_11a_90ml_9351060271,3474636990207,10427
5528,SoColor Pre-Bonded Крем-краска для волос 5AV 90мл,socolor_pre_bonded_krem_kraska_dlya_volos_5av_90ml_9351060170,3474636989805,10427
6932,L`Oreal Professionnel Serie Expert Absolute Repair Lipidium Уход 150мл,l_oreal_professionnel_serie_expert_absolute_repair_lipidium_uхod_150ml_0391066619,3474630640863,10437
