id,name,code,barcode,producerid
2028,Краситель-блеск Shades EQ 06RB 60мл,krasitel_blesk_shades_eq_06rb_60ml_9391000127,743877066761,10435
30605,Краситель-блеск Shades EQ Bonder Inside 09P 60мл,krasitel_blesk_shades_eq_bonder_inside_09p_60ml_9391000202,3474636997626,10435
14574,Краситель-блеск Shades EQ 02M 60мл,krasitel_blesk_shades_eq_02m_60ml_9391000035,743877065535,10435
19853,Краситель-блеск Shades EQ 07NW 60мл,krasitel_blesk_shades_eq_07nw_60ml_9391000132,884486255839,10435
18609,Краситель-блеск Shades EQ 06T 60мл,krasitel_blesk_shades_eq_06t_60ml_0391000756,743877060721,10435
23003,Стойкий краситель Chromatics с 4D эффектом 6.35/6GM ЗОЛОТИСТЫЙ МОККА 63мл,stojkij_krasitel_chromatics_s_4d_effektom_6_35_6gm_zolotistyj_mokka_63ml_0391000465,3474630718623,10435
27233,Краситель-блеск Shades EQ Bonder Inside 000 60мл,krasitel_blesk_shades_eq_bonder_inside_000_60ml_9391000144,3474636997589,10435
29616,Краситель-блеск Shades EQ 09B 60мл,krasitel_blesk_shades_eq_09b_60ml_0391000834,743877065771,10435
23091,Стойкий краситель Chromatics с 4D эффектом 10.3/10G ЗОЛОТИСТЫЙ 63мл,stojkij_krasitel_chromatics_s_4d_effektom_10_3_10g_zolotistyj_63ml_0391000640,3474630716278,10435
2154,Краситель-блеск Shades EQ 06VB 60мл,krasitel_blesk_shades_eq_06vb_60ml_0391000767,884486402851,10435
5065,Стойкий краситель Chromatics Ultra Rich 5NN НАТУРАЛЬНЫЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_5nn_naturalnyj_63ml_0391000290,3474630733442,10435
13863,Стойкий краситель Chromatics Ultra Rich 10P ПЕРЛАМУТРОВЫЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_10p_perlamutrovyj_63ml_0391000355,3474630733862,10435
20383,Краситель-блеск Shades EQ 06NB 60мл,krasitel_blesk_shades_eq_06nb_60ml_0391000766,884486003577,10435
15693,Краситель-блеск Shades EQ 06N 60мл,krasitel_blesk_shades_eq_06n_60ml_0391000741,884486005731,10435
21025,Majirel Cool Inforced Крем-краска для волос 9.1 50мл,majirel_cool_inforced_krem_kraska_dlya_volos_9_1_50ml_0391065034,3474636859849,10437
12672,Краситель-блеск Shades EQ Gloss 010N 60мл,krasitel_blesk_shades_eq_gloss_010n_60ml_9391000159,884486406224,10435
7508,Стойкий краситель Chromatics Ultra Rich 7NN ГЛУБОКИЙ НАТУРАЛЬНЫЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_7nn_glubokij_naturalnyj_63ml_0391000320,3474630733589,10435
30446,Колор гель 10мин 05N 60мл,kolor_gel_10min_05n_60ml_9391000213,3474637015398,10435
6104,Краситель-блеск Shades EQ 05B 60мл,krasitel_blesk_shades_eq_05b_60ml_0391000716,884486003423,10435
14071,Краситель-блеск Shades EQ 08VB 60мл,krasitel_blesk_shades_eq_08vb_60ml_9391000073,884486402790,10435
12142,Majirel Cool Inforced Крем-краска для волос 8.1 50мл,majirel_cool_inforced_krem_kraska_dlya_volos_8_1_50ml_0391065038,3474636859887,10437
15086,Краситель-камуфляж Brews Color Camo 1NA DARK ASH 60мл,krasitel_kamuflyazh_brews_color_camo_1na_dark_ash_60ml_0391001440,884486357410,10435
20216,Socolor beauty Крем-краска для волос 6G 90мл,socolor_beauty_krem_kraska_dlya_volos_6g_90ml_0391067808,3474630326651,10427
12323,Стойкий краситель Chromatics с 4D эффектом 7.13/7AG ПЕПЕЛЬНЫЙ ЗОЛОТИСТЫЙ 63мл,stojkij_krasitel_chromatics_s_4d_effektom_7_13_7ag_pepelnyj_zolotistyj_63ml_0391000495,3474630724266,10435
19586,Регулятор интенсивности цвета и блеска Shades EQ Crystal Clear 500мл,regulyator_intensivnosti_cveta_i_bleska_shades_eq_crystal_clear_500ml_0391000890,743877076487,10435
28047,Стойкий краситель Chromatics Ultra Rich 10NN НАТУРАЛЬНЫЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_10nn_naturalnyj_63ml_0391000345,3474630734708,10435
21465,Краситель-блеск Shades EQ 07B 60мл,krasitel_blesk_shades_eq_07b_60ml_0391000791,884486255761,10435
26064,Краситель-камуфляж Brews Color Camo 1NA DARK ASH 60мл,krasitel_kamuflyazh_brews_color_camo_1na_dark_ash_60ml_9391000187,884486357410,10435
29215,Краситель-камуфляж Brews Color Camo 8N LIGHT NATURAL 60мл,krasitel_kamuflyazh_brews_color_camo_8n_light_natural_60ml_0391001480,884486357465,10435
27197,Краситель-блеск Shades EQ 09NW 60мл,krasitel_blesk_shades_eq_09nw_60ml_0391000879,884486255822,10435
25881,Стойкий краситель Chromatics Ultra Rich 7.13 AG ПЕПЕЛЬНО-ЗОЛОТИСТЫЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_7_13_ag_pepelno_zolotistyj_63ml_0391000255,3474636382255,10435
28020,Стойкий краситель Chromatics с 4D эффектом 9.13/9AG ПЕПЕЛЬНЫЙ ЗОЛОТИСТЫЙ 63мл,stojkij_krasitel_chromatics_s_4d_effektom_9_13_9ag_pepelnyj_zolotistyj_63ml_0391000595,3474630724198,10435
9266,Краситель-блеск Shades EQ 05G 60мл,krasitel_blesk_shades_eq_05g_60ml_9391000002,884486003461,10435
2693,Стойкий краситель Chromatics Ultra Rich 6NA НАТУРАЛЬНЫЙ ПЕПЕЛЬНЫЙ 63мл,stojkij_krasitel_chromatics_ultra_rich_6na_naturalnyj_pepelnyj_63ml_0391000310,3474630734999,10435
4400,Socolor beauty UL-AA Ультра Блонд Глубокий Пепельный (.11) 90 мл,socolor_beauty_ul_aa_ultra_blond_glubokij_pepelnyj_11_90_ml_0391068010,3474636783083,10427
4912,Стойкий краситель Chromatics с 4D эффектом 3/3N НАТУРАЛЬНЫЙ 63мл,stojkij_krasitel_chromatics_s_4d_effektom_3_3n_naturalnyj_63ml_0391000365,3474630719675,10435
9553,Majirel Cool Inforced Крем-краска для волос 10.1 50мл,majirel_cool_inforced_krem_kraska_dlya_volos_10_1_50ml_0391065030,3474636859801,10437
30457,Краситель-камуфляж Brews Color Camo 5N MED NATURAL 60мл,krasitel_kamuflyazh_brews_color_camo_5n_med_natural_60ml_9391000210,884486357441,10435
8142,Dia Проявитель 1.8% (6 волюм) 1000 мл,dia_proyavitel_1_8_6_volyum_1000_ml_0391063046,3474630440395,10437
9833,Краситель-блеск Shades EQ 06KK 60мл,krasitel_blesk_shades_eq_06kk_60ml_9391060002,884486005779,10435
12143,Краситель-блеск Shades EQ 04WG 60мл,krasitel_blesk_shades_eq_04wg_60ml_9391000128,884486002105,10435
13890,Краситель-блеск Shades EQ 06WG 60мл,krasitel_blesk_shades_eq_06wg_60ml_0391000760,743877066402,10435
